# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = prior_model
# start_datetime = 2023-04-13 09:20:00 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 0
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = fixed_param
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmpjdx6wopj/m6nqqjez.json
# init = 2 (Default)
# random
#   seed = 123456
# output
#   file = /home/AGH-Data-Analytics/lab_5/samples/prior-20230413092000.csv
#   diagnostic_file =  (Default)
#   refresh = 1000
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,beta.1,beta.2,alpha,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,y_ppc.1,y_ppc.2,y_ppc.3,y_ppc.4,y_ppc.5,y_ppc.6,y_ppc.7,y_ppc.8,y_ppc.9,y_ppc.10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3.89992,-1.97955,2.36946,-1357.02,-921.581,-1369.32,-1612.8,-1523.19,-632.33,-1408.61,-1521.09,-376.672,-2022.03,0,0,0,0,0,0,0,0,0,0
0,0,-3.45298,-1.37305,-1.40186,-1092.09,-796.22,-1143.72,-1312.61,-1195.03,-570.958,-1140.19,-1181.26,-362.84,-1541.04,0,0,0,0,0,0,0,0,0,0
0,0,-0.792679,-1.66451,0.465926,-1240.31,-878.24,-1279.15,-1483.88,-1371.89,-618.734,-1291.83,-1361.98,-383.403,-1791.34,0,0,0,0,0,0,0,0,0,0
0,0,0.421056,-1.0944,3.38972,-789.795,-550.795,-808.736,-943.347,-878.19,-383.941,-821.785,-873.56,-233.925,-1153.98,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-1.00973,-0.224759,-2.00884,-191.216,-143.228,-202.779,-230.424,-207.177,-104.576,-199.978,-204.034,-68.2858,-263.816,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3.49437,-0.188771,3.80596,-50.8875,-6.24098,-30.2024,-53.4213,-72.978,8.85236,-49.5619,-79.0228,17.6198,-120.548,0,0,0,0,0,7107,0,0,4.48884e+07,0
0,0,-2.33581,-1.87291,-1.5347,-1432.31,-1026.35,-1486.12,-1716.48,-1577.47,-728.578,-1493.17,-1563.43,-456.566,-2049.44,0,0,0,0,0,0,0,0,0,0
0,0,-2.97118,-3.34105,1.21547,-2522.42,-1797.05,-2610.04,-3020.99,-2783.77,-1270.64,-2628.6,-2761.12,-791.378,-3625.71,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.595715,-2.4601,0.460489,-1790.95,-1254.06,-1835.99,-2138.58,-1988.95,-877.585,-1863.56,-1977.84,-538.61,-2608.9,0,0,0,0,0,0,0,0,0,0
0,0,0.0721937,0.0165022,-1.36532,12.48,8.95468,13.3154,15.3451,13.6558,6.12456,13.1194,13.4289,3.46978,17.8143,262815,7588,606017,4.6151e+06,853671,445,497742,679908,43,5.45274e+07
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-0.541847,-0.436278,0.292637,-332.94,-238.373,-345.458,-399.12,-366.758,-169.019,-347.112,-363.493,-105.667,-476.7,0,0,0,0,0,0,0,0,0,0
0,0,-1.67105,-1.42691,0.356779,-1087.1,-777.707,-1127.34,-1302.85,-1197.91,-551.278,-1133.25,-1187.44,-344.582,-1557.5,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-0.997993,-1.13966,2.68641,-857.778,-610.33,-887.557,-1027.74,-946.955,-430.829,-893.964,-939.261,-267.426,-1234.15,0,0,0,0,0,0,0,0,0,0
0,0,0.0462784,-1.6753,4.87382,-1223.68,-858.423,-1256.87,-1462.93,-1357.8,-600.612,-1273.85,-1349.52,-367.977,-1779.98,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-0.928202,-1.02503,1.71898,-772.931,-550.402,-799.929,-926.007,-853.077,-388.834,-805.538,-846.095,-241.714,-1111.38,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
